Month,Price.2
2017-01,30210
2017-02,30480
2017-03,30290
2017-04,30280
2017-05,29810
2017-06,30070
2017-07,29480
2017-08,30370
2017-09,30900
2017-10,30480
2017-11,30240
2017-12,30080
2018-01,31140
2018-02,31370
2018-03,31450
2018-04,31920
2018-05,31960
2018-06,31580
2018-07,30130
2018-08,29730
2018-09,30260
2018-10,32450
2018-11,32270
2018-12,32100
2019-01,33650
2019-02,34060
2019-03,34660
2019-04,32310
2019-05,32480
2019-06,34660
2019-07,35400
2019-08,38950
2019-09,40145
2019-10,38880
2019-11,38990
2019-12,38950
2020-01,41150
2020-02,44300
2020-03,44320
2020-04,47150
2020-05,47600
2020-06,48410
2020-07,52900
2020-08,55400
2020-09,51750
2020-10,50200
2020-11,51230
2020-12,50370
2021-01,51350
2021-02,49450
2021-03,45940
2021-04,46250
2021-05,47800
2021-06,49310
2021-07,48480
2021-08,48380
2021-09,47530
2021-10,48270
2021-11,49470
2021-12,49010
2022-01,49830
2022-02,51550
2022-03,54330
